,Date,Line,Qty,MO_No
0,2020/07/13,Line_1,270.0,A
1,2020/07/13,Line_2,-0.0,A
2,2020/07/13,Line_3,330.0,A
3,2020/07/13,Line_1,-0.0,B
4,2020/07/13,Line_2,-0.0,B
5,2020/07/13,Line_3,-0.0,B
6,2020/07/13,Line_1,-0.0,C
7,2020/07/13,Line_2,-0.0,C
8,2020/07/13,Line_3,-0.0,C
9,2020/07/13,Line_1,-0.0,D
10,2020/07/13,Line_2,-0.0,D
11,2020/07/13,Line_3,-0.0,D
12,2020/07/13,Line_1,-0.0,E
13,2020/07/13,Line_2,-0.0,E
14,2020/07/13,Line_3,-0.0,E
15,2020/07/13,Line_1,-0.0,F
16,2020/07/13,Line_2,-0.0,F
17,2020/07/13,Line_3,-0.0,F
18,2020/07/13,Line_1,-0.0,G
19,2020/07/13,Line_2,-0.0,G
20,2020/07/13,Line_3,-0.0,G
21,2020/07/13,Line_1,-0.0,H
22,2020/07/13,Line_2,-0.0,H
23,2020/07/13,Line_3,-0.0,H
24,2020/07/13,Line_1,-0.0,I
25,2020/07/13,Line_2,-0.0,I
26,2020/07/13,Line_3,-0.0,I
27,2020/07/13,Line_1,-0.0,J
28,2020/07/13,Line_2,-0.0,J
29,2020/07/13,Line_3,-0.0,J
30,2020/07/13,Line_1,-0.0,K
31,2020/07/13,Line_2,-0.0,K
32,2020/07/13,Line_3,-0.0,K
33,2020/07/13,Line_1,-0.0,L
34,2020/07/13,Line_2,-0.0,L
35,2020/07/13,Line_3,-0.0,L
36,2020/07/14,Line_1,0.0,A
37,2020/07/14,Line_2,0.0,A
38,2020/07/14,Line_3,0.0,A
39,2020/07/14,Line_1,200.0,B
40,2020/07/14,Line_2,-0.0,B
41,2020/07/14,Line_3,0.0,B
42,2020/07/14,Line_1,150.0,C
43,2020/07/14,Line_2,-0.0,C
44,2020/07/14,Line_3,0.0,C
45,2020/07/14,Line_1,-0.0,D
46,2020/07/14,Line_2,-0.0,D
47,2020/07/14,Line_3,-0.0,D
48,2020/07/14,Line_1,-0.0,E
49,2020/07/14,Line_2,-0.0,E
50,2020/07/14,Line_3,-0.0,E
51,2020/07/14,Line_1,-0.0,F
52,2020/07/14,Line_2,-0.0,F
53,2020/07/14,Line_3,-0.0,F
54,2020/07/14,Line_1,-0.0,G
55,2020/07/14,Line_2,-0.0,G
56,2020/07/14,Line_3,-0.0,G
57,2020/07/14,Line_1,-0.0,H
58,2020/07/14,Line_2,-0.0,H
59,2020/07/14,Line_3,-0.0,H
60,2020/07/14,Line_1,-0.0,I
61,2020/07/14,Line_2,-0.0,I
62,2020/07/14,Line_3,-0.0,I
63,2020/07/14,Line_1,-0.0,J
64,2020/07/14,Line_2,-0.0,J
65,2020/07/14,Line_3,-0.0,J
66,2020/07/14,Line_1,-0.0,K
67,2020/07/14,Line_2,-0.0,K
68,2020/07/14,Line_3,-0.0,K
69,2020/07/14,Line_1,-0.0,L
70,2020/07/14,Line_2,-0.0,L
71,2020/07/14,Line_3,-0.0,L
72,2020/07/15,Line_1,0.0,A
73,2020/07/15,Line_2,0.0,A
74,2020/07/15,Line_3,0.0,A
75,2020/07/15,Line_1,0.0,B
76,2020/07/15,Line_2,0.0,B
77,2020/07/15,Line_3,0.0,B
78,2020/07/15,Line_1,0.0,C
79,2020/07/15,Line_2,0.0,C
80,2020/07/15,Line_3,0.0,C
81,2020/07/15,Line_1,150.0,D
82,2020/07/15,Line_2,-0.0,D
83,2020/07/15,Line_3,0.0,D
84,2020/07/15,Line_1,130.0,E
85,2020/07/15,Line_2,-0.0,E
86,2020/07/15,Line_3,70.0,E
87,2020/07/15,Line_1,-0.0,F
88,2020/07/15,Line_2,-0.0,F
89,2020/07/15,Line_3,200.0,F
90,2020/07/15,Line_1,-0.0,G
91,2020/07/15,Line_2,-0.0,G
92,2020/07/15,Line_3,-0.0,G
93,2020/07/15,Line_1,-0.0,H
94,2020/07/15,Line_2,-0.0,H
95,2020/07/15,Line_3,-0.0,H
96,2020/07/15,Line_1,-0.0,I
97,2020/07/15,Line_2,-0.0,I
98,2020/07/15,Line_3,-0.0,I
99,2020/07/15,Line_1,-0.0,J
100,2020/07/15,Line_2,-0.0,J
101,2020/07/15,Line_3,-0.0,J
102,2020/07/15,Line_1,-0.0,K
103,2020/07/15,Line_2,-0.0,K
104,2020/07/15,Line_3,-0.0,K
105,2020/07/15,Line_1,-0.0,L
106,2020/07/15,Line_2,-0.0,L
107,2020/07/15,Line_3,-0.0,L
108,2020/07/16,Line_1,0.0,A
109,2020/07/16,Line_2,0.0,A
110,2020/07/16,Line_3,0.0,A
111,2020/07/16,Line_1,0.0,B
112,2020/07/16,Line_2,0.0,B
113,2020/07/16,Line_3,0.0,B
114,2020/07/16,Line_1,0.0,C
115,2020/07/16,Line_2,0.0,C
116,2020/07/16,Line_3,0.0,C
117,2020/07/16,Line_1,0.0,D
118,2020/07/16,Line_2,0.0,D
119,2020/07/16,Line_3,0.0,D
120,2020/07/16,Line_1,0.0,E
121,2020/07/16,Line_2,0.0,E
122,2020/07/16,Line_3,0.0,E
123,2020/07/16,Line_1,0.0,F
124,2020/07/16,Line_2,0.0,F
125,2020/07/16,Line_3,0.0,F
126,2020/07/16,Line_1,-0.0,G
127,2020/07/16,Line_2,-0.0,G
128,2020/07/16,Line_3,-0.0,G
129,2020/07/16,Line_1,-0.0,H
130,2020/07/16,Line_2,-0.0,H
131,2020/07/16,Line_3,-0.0,H
132,2020/07/16,Line_1,-0.0,I
133,2020/07/16,Line_2,-0.0,I
134,2020/07/16,Line_3,-0.0,I
135,2020/07/16,Line_1,-0.0,J
136,2020/07/16,Line_2,-0.0,J
137,2020/07/16,Line_3,-0.0,J
138,2020/07/16,Line_1,-0.0,K
139,2020/07/16,Line_2,-0.0,K
140,2020/07/16,Line_3,-0.0,K
141,2020/07/16,Line_1,-0.0,L
142,2020/07/16,Line_2,-0.0,L
143,2020/07/16,Line_3,-0.0,L
144,2020/07/17,Line_1,0.0,A
145,2020/07/17,Line_2,0.0,A
146,2020/07/17,Line_3,0.0,A
147,2020/07/17,Line_1,0.0,B
148,2020/07/17,Line_2,0.0,B
149,2020/07/17,Line_3,0.0,B
150,2020/07/17,Line_1,0.0,C
151,2020/07/17,Line_2,0.0,C
152,2020/07/17,Line_3,0.0,C
153,2020/07/17,Line_1,0.0,D
154,2020/07/17,Line_2,0.0,D
155,2020/07/17,Line_3,0.0,D
156,2020/07/17,Line_1,0.0,E
157,2020/07/17,Line_2,0.0,E
158,2020/07/17,Line_3,0.0,E
159,2020/07/17,Line_1,0.0,F
160,2020/07/17,Line_2,0.0,F
161,2020/07/17,Line_3,0.0,F
162,2020/07/17,Line_1,4.0,G
163,2020/07/17,Line_2,-0.0,G
164,2020/07/17,Line_3,396.0,G
165,2020/07/17,Line_1,400.0,H
166,2020/07/17,Line_2,-0.0,H
167,2020/07/17,Line_3,0.0,H
168,2020/07/17,Line_1,-0.0,I
169,2020/07/17,Line_2,392.0,I
170,2020/07/17,Line_3,8.0,I
171,2020/07/17,Line_1,-0.0,J
172,2020/07/17,Line_2,-0.0,J
173,2020/07/17,Line_3,-0.0,J
174,2020/07/17,Line_1,-0.0,K
175,2020/07/17,Line_2,46.0,K
176,2020/07/17,Line_3,-0.0,K
177,2020/07/17,Line_1,-0.0,L
178,2020/07/17,Line_2,-0.0,L
179,2020/07/17,Line_3,-0.0,L
180,2020/07/18,Line_1,0.0,A
181,2020/07/18,Line_2,0.0,A
182,2020/07/18,Line_3,0.0,A
183,2020/07/18,Line_1,0.0,B
184,2020/07/18,Line_2,0.0,B
185,2020/07/18,Line_3,0.0,B
186,2020/07/18,Line_1,0.0,C
187,2020/07/18,Line_2,0.0,C
188,2020/07/18,Line_3,0.0,C
189,2020/07/18,Line_1,0.0,D
190,2020/07/18,Line_2,0.0,D
191,2020/07/18,Line_3,0.0,D
192,2020/07/18,Line_1,0.0,E
193,2020/07/18,Line_2,0.0,E
194,2020/07/18,Line_3,0.0,E
195,2020/07/18,Line_1,0.0,F
196,2020/07/18,Line_2,0.0,F
197,2020/07/18,Line_3,0.0,F
198,2020/07/18,Line_1,0.0,G
199,2020/07/18,Line_2,0.0,G
200,2020/07/18,Line_3,0.0,G
201,2020/07/18,Line_1,0.0,H
202,2020/07/18,Line_2,0.0,H
203,2020/07/18,Line_3,0.0,H
204,2020/07/18,Line_1,0.0,I
205,2020/07/18,Line_2,0.0,I
206,2020/07/18,Line_3,0.0,I
207,2020/07/18,Line_1,-0.0,J
208,2020/07/18,Line_2,-0.0,J
209,2020/07/18,Line_3,150.0,J
210,2020/07/18,Line_1,-0.0,K
211,2020/07/18,Line_2,-0.0,K
212,2020/07/18,Line_3,54.00000000000019,K
213,2020/07/18,Line_1,-0.0,L
214,2020/07/18,Line_2,-0.0,L
215,2020/07/18,Line_3,200.0,L
216,2020/07/19,Line_1,0.0,A
217,2020/07/19,Line_2,0.0,A
218,2020/07/19,Line_3,0.0,A
219,2020/07/19,Line_1,0.0,B
220,2020/07/19,Line_2,0.0,B
221,2020/07/19,Line_3,0.0,B
222,2020/07/19,Line_1,0.0,C
223,2020/07/19,Line_2,0.0,C
224,2020/07/19,Line_3,0.0,C
225,2020/07/19,Line_1,0.0,D
226,2020/07/19,Line_2,0.0,D
227,2020/07/19,Line_3,0.0,D
228,2020/07/19,Line_1,0.0,E
229,2020/07/19,Line_2,0.0,E
230,2020/07/19,Line_3,0.0,E
231,2020/07/19,Line_1,0.0,F
232,2020/07/19,Line_2,0.0,F
233,2020/07/19,Line_3,0.0,F
234,2020/07/19,Line_1,0.0,G
235,2020/07/19,Line_2,0.0,G
236,2020/07/19,Line_3,0.0,G
237,2020/07/19,Line_1,0.0,H
238,2020/07/19,Line_2,0.0,H
239,2020/07/19,Line_3,0.0,H
240,2020/07/19,Line_1,0.0,I
241,2020/07/19,Line_2,0.0,I
242,2020/07/19,Line_3,0.0,I
243,2020/07/19,Line_1,0.0,J
244,2020/07/19,Line_2,0.0,J
245,2020/07/19,Line_3,0.0,J
246,2020/07/19,Line_1,0.0,K
247,2020/07/19,Line_2,0.0,K
248,2020/07/19,Line_3,0.0,K
249,2020/07/19,Line_1,-0.0,L
250,2020/07/19,Line_2,-0.0,L
251,2020/07/19,Line_3,-0.0,L
